geoid,tract_name,hh_total,hh_no_vehicle,hh_one_vehicle,hh_two_vehicle,hh_three_plus_vehicle,pct_hh_no_vehicle,pct_hh_one_vehicle,pct_hh_two_vehicle,pct_hh_three_plus_vehicle
17031100500,Census Tract 1005; Cook County; Illinois,2338,83,1108,732,247,0.035500427715996576,0.4739093242087254,0.31308810949529514,0.10564585115483319
17031100600,Census Tract 1006; Cook County; Illinois,1861,143,830,626,227,0.07684040838259,0.445996775926921,0.3363782912412681,0.12197743148844707
17031100700,Census Tract 1007; Cook County; Illinois,1906,80,539,797,404,0.04197271773347324,0.282791185729276,0.4181532004197272,0.21196222455403987
17031110100,Census Tract 1101; Cook County; Illinois,2325,116,789,1140,95,0.04989247311827957,0.3393548387096774,0.49032258064516127,0.04086021505376344
17031110200,Census Tract 1102; Cook County; Illinois,1356,280,604,255,139,0.20648967551622419,0.44542772861356933,0.18805309734513273,0.10250737463126844
17031110300,Census Tract 1103; Cook County; Illinois,1780,70,631,811,250,0.03932584269662921,0.3544943820224719,0.4556179775280899,0.1404494382022472
17031110400,Census Tract 1104; Cook County; Illinois,2057,228,984,688,132,0.11084103062712689,0.47836655323286337,0.3344676713660671,0.06417112299465241
17031110501,Census Tract 1105.01; Cook County; Illinois,1960,89,1000,608,170,0.045408163265306126,0.5102040816326531,0.31020408163265306,0.08673469387755102
17031110502,Census Tract 1105.02; Cook County; Illinois,1513,314,627,475,97,0.2075346992729676,0.4144084600132188,0.3139458030403173,0.06411103767349637
17031120100,Census Tract 1201; Cook County; Illinois,1475,29,431,750,224,0.01966101694915254,0.2922033898305085,0.5084745762711864,0.151864406779661
17031120200,Census Tract 1202; Cook County; Illinois,1763,50,726,681,280,0.02836074872376631,0.41179807146908676,0.38627339761769713,0.15882019285309132
17031120300,Census Tract 1203; Cook County; Illinois,2551,182,843,1183,172,0.07134457075656606,0.33045864366914934,0.4637397099176793,0.06742453939631517
17031120400,Census Tract 1204; Cook County; Illinois,1261,114,362,489,253,0.09040444091990484,0.28707375099127674,0.3877874702616971,0.2006344171292625
17031130100,Census Tract 1301; Cook County; Illinois,1805,398,800,475,98,0.22049861495844875,0.44321329639889195,0.2631578947368421,0.054293628808864264
17031130200,Census Tract 1302; Cook County; Illinois,720,20,511,146,43,0.027777777777777776,0.7097222222222223,0.20277777777777778,0.059722222222222225
17031130300,Census Tract 1303; Cook County; Illinois,1844,212,837,495,214,0.11496746203904555,0.4539045553145336,0.26843817787418656,0.11605206073752712
17031140100,Census Tract 1401; Cook County; Illinois,1211,210,528,370,57,0.17341040462427745,0.4360033030553262,0.305532617671346,0.04706853839801817
17031140200,Census Tract 1402; Cook County; Illinois,2036,415,1228,290,63,0.2038310412573674,0.6031434184675835,0.14243614931237722,0.03094302554027505
17031140301,Census Tract 1403.01; Cook County; Illinois,926,214,455,206,51,0.23110151187904968,0.49136069114470843,0.2224622030237581,0.0550755939524838
17031140302,Census Tract 1403.02; Cook County; Illinois,1343,266,634,408,15,0.19806403574087864,0.4720774385703649,0.3037974683544304,0.011169024571854059
17031140400,Census Tract 1404; Cook County; Illinois,2083,245,752,796,212,0.11761881901104176,0.3610177628420547,0.38214114258281323,0.10177628420547287
17031140500,Census Tract 1405; Cook County; Illinois,1388,160,714,405,109,0.11527377521613832,0.5144092219020173,0.29178674351585016,0.07853025936599424
17031140601,Census Tract 1406.01; Cook County; Illinois,806,126,388,208,44,0.15632754342431762,0.4813895781637717,0.25806451612903225,0.05459057071960298
17031140602,Census Tract 1406.02; Cook County; Illinois,1706,262,853,495,62,0.15357561547479484,0.5,0.2901524032825322,0.03634232121922626
17031140701,Census Tract 1407.01; Cook County; Illinois,1036,235,592,185,16,0.22683397683397682,0.5714285714285714,0.17857142857142858,0.015444015444015444
17031140702,Census Tract 1407.02; Cook County; Illinois,2090,507,1043,347,193,0.24258373205741626,0.49904306220095696,0.1660287081339713,0.0923444976076555
17031140800,Census Tract 1408; Cook County; Illinois,2669,616,1365,659,11,0.23079805170475834,0.5114275009366804,0.24690895466466842,0.004121393780442113
17031150200,Census Tract 1502; Cook County; Illinois,2829,542,1125,929,165,0.19158713326263696,0.39766702014846234,0.328384588193708,0.05832449628844114
17031150300,Census Tract 1503; Cook County; Illinois,3206,194,1483,1198,222,0.06051154086088584,0.4625701809107923,0.3736743605739239,0.06924516531503432
17031150401,Census Tract 1504.01; Cook County; Illinois,1794,185,602,698,207,0.10312151616499443,0.3355629877369008,0.3890746934225195,0.11538461538461539
17031150402,Census Tract 1504.02; Cook County; Illinois,1355,107,638,390,124,0.07896678966789668,0.4708487084870849,0.2878228782287823,0.09151291512915129
17031150501,Census Tract 1505.01; Cook County; Illinois,1523,33,533,673,177,0.021667760998030205,0.3499671700590939,0.44189100459619174,0.11621799080761655
17031150502,Census Tract 1505.02; Cook County; Illinois,1525,186,520,640,131,0.1219672131147541,0.34098360655737703,0.419672131147541,0.0859016393442623
