geoid,tract_name,median_income
17031440101,Census Tract 4401.01; Cook County; Illinois,28326.0
17031440102,Census Tract 4401.02; Cook County; Illinois,36650.0
17031440201,Census Tract 4402.01; Cook County; Illinois,38257.0
17031440202,Census Tract 4402.02; Cook County; Illinois,35079.0
17031440300,Census Tract 4403; Cook County; Illinois,55476.0
17031440600,Census Tract 4406; Cook County; Illinois,56989.0
17031440700,Census Tract 4407; Cook County; Illinois,91031.0
17031440800,Census Tract 4408; Cook County; Illinois,23750.0
17031440900,Census Tract 4409; Cook County; Illinois,43359.0
17031450300,Census Tract 4503; Cook County; Illinois,46207.0
17031460100,Census Tract 4601; Cook County; Illinois,48207.0
17031460200,Census Tract 4602; Cook County; Illinois,29246.0
17031460301,Census Tract 4603.01; Cook County; Illinois,41296.0
17031460302,Census Tract 4603.02; Cook County; Illinois,44306.0
17031460400,Census Tract 4604; Cook County; Illinois,70472.0
17031460500,Census Tract 4605; Cook County; Illinois,54850.0
17031460800,Census Tract 4608; Cook County; Illinois,33048.0
17031461000,Census Tract 4610; Cook County; Illinois,14311.0
17031470100,Census Tract 4701; Cook County; Illinois,46614.0
17031480100,Census Tract 4801; Cook County; Illinois,71719.0
