geoid,tract_name,median_income,workers_total,workers_car,workers_public,workers_walk,workers_other,workers_home,pct_car,pct_public,pct_walk,pct_other,pct_home,hh_total,hh_no_vehicle,hh_one_vehicle,hh_two_vehicle,hh_three_plus_vehicle,pct_hh_no_vehicle,pct_hh_one_vehicle,pct_hh_two_vehicle,pct_hh_three_plus_vehicle,mean_travel_time_min
17031060100,Census Tract 601; Cook County; Illinois,145313.0,1867,815,410,26,47,556,0.4365291912158543,0.2196036422067488,0.013926084627745,0.0251740760578468,0.2978039635779325,1283,268,621,310,84,0.2088854247856586,0.4840218238503507,0.2416212003117692,0.0654715510522213,21.85
17031060200,Census Tract 602; Cook County; Illinois,91081.0,1523,533,418,10,49,499,0.3499671700590939,0.2744583059750492,0.0065659881812212,0.0321733420879842,0.3276428102429415,1196,252,749,129,47,0.2107023411371237,0.6262541806020067,0.1078595317725752,0.0392976588628762,17.066666666666666
17031060300,Census Tract 603; Cook County; Illinois,139306.0,1870,498,559,78,35,662,0.2663101604278075,0.2989304812834225,0.041711229946524,0.0187165775401069,0.3540106951871657,1217,345,686,159,20,0.2834839769926047,0.5636811832374692,0.1306491372226787,0.0164338537387017,20.133333333333333
17031060400,Census Tract 604; Cook County; Illinois,154038.0,2386,665,558,117,299,747,0.2787091366303437,0.2338642078792959,0.0490360435875943,0.125314333612741,0.3130762782900251,1560,415,791,352,2,0.266025641025641,0.507051282051282,0.2256410256410256,0.0012820512820512,27.316666666666663
17031060500,Census Tract 605; Cook County; Illinois,60987.0,611,153,191,0,29,223,0.2504091653027823,0.3126022913256955,0.0,0.0474631751227495,0.3649754500818331,679,330,295,40,14,0.4860088365243004,0.4344624447717231,0.0589101620029455,0.0206185567010309,6.466666666666667
17031060800,Census Tract 608; Cook County; Illinois,83534.0,3874,1272,1012,0,100,1379,0.3283427981414558,0.2612287041817243,0.0,0.0258131130614352,0.3559628291171915,3686,1372,2008,255,51,0.3722192078133478,0.5447639717851329,0.0691806836679327,0.0138361367335865,41.583333333333336
17031060900,Census Tract 609; Cook County; Illinois,86987.0,5003,1409,2003,40,182,1342,0.2816310213871677,0.4003597841295223,0.007995202878273,0.0363781730961423,0.2682390565660603,4886,2117,2491,278,0,0.4332787556283258,0.5098239869013508,0.0568972574703233,0.0,61.016666666666666
17031061000,Census Tract 610; Cook County; Illinois,116500.0,1681,488,603,30,54,506,0.2903033908387864,0.3587150505651398,0.0178465199286139,0.032123735871505,0.3010113027959548,1092,386,548,127,31,0.3534798534798535,0.5018315018315018,0.1163003663003663,0.0283882783882783,19.58333333333333
17031061100,Census Tract 611; Cook County; Illinois,123750.0,1162,321,368,21,32,392,0.2762478485370052,0.3166953528399311,0.0180722891566265,0.027538726333907,0.3373493975903614,739,273,339,108,19,0.3694181326116373,0.4587280108254398,0.1461434370771312,0.0257104194857916,12.833333333333334
17031061200,Census Tract 612; Cook County; Illinois,118398.0,1500,412,469,10,137,465,0.2746666666666666,0.3126666666666666,0.0066666666666666,0.0913333333333333,0.31,867,264,299,227,59,0.3044982698961938,0.3448673587081891,0.2618223760092272,0.0680507497116493,17.25
17031061500,Census Tract 615; Cook County; Illinois,126101.0,1342,413,427,29,48,390,0.3077496274217585,0.3181818181818182,0.0216095380029806,0.0357675111773472,0.2906110283159464,901,214,462,205,20,0.2375138734739178,0.5127635960044395,0.2275249722530521,0.0221975582685904,15.866666666666667
17031061800,Census Tract 618; Cook County; Illinois,76393.0,853,144,372,32,43,256,0.1688159437280187,0.4361078546307151,0.0375146541617819,0.0504103165298944,0.3001172332942555,745,446,247,39,13,0.5986577181208054,0.3315436241610738,0.0523489932885906,0.0174496644295302,9.95
17031061901,Census Tract 619.01; Cook County; Illinois,67063.0,2239,378,845,36,41,886,0.1688253684680661,0.3774006252791425,0.0160786065207682,0.0183117463153193,0.3957123715944618,2643,1836,710,97,0,0.6946651532349603,0.2686341278849792,0.0367007188800605,0.0,22.55
17031061902,Census Tract 619.02; Cook County; Illinois,92011.0,2983,664,1393,0,133,777,0.2225947033188065,0.4669795507877975,0.0,0.0445859872611464,0.2604760308414348,2899,1387,1312,171,29,0.4784408416695412,0.4525698516729907,0.0589858571921352,0.0100034494653328,36.766666666666666
17031062000,Census Tract 620; Cook County; Illinois,133514.0,2370,346,819,79,94,1013,0.1459915611814346,0.3455696202531645,0.0333333333333333,0.0396624472573839,0.4274261603375527,1753,835,788,109,21,0.4763262977752424,0.4495151169423845,0.0621791215059897,0.0119794637763833,22.616666666666667
17031062100,Census Tract 621; Cook County; Illinois,92313.0,2986,513,858,12,139,1417,0.1718017414601473,0.2873409243134628,0.0040187541862022,0.0465505693235097,0.4745478901540522,2091,1059,734,220,24,0.5064562410329986,0.3510282161645146,0.1052128168340506,0.0114777618364418,26.15
17031062200,Census Tract 622; Cook County; Illinois,172841.0,2259,718,714,35,81,640,0.3178397521027003,0.3160690571049137,0.015493581230633,0.0358565737051792,0.283311199645861,1381,257,866,229,29,0.1860970311368573,0.6270818247646633,0.165821868211441,0.0209992758870383,26.98333333333333
17031062300,Census Tract 623; Cook County; Illinois,244286.0,950,233,303,1,18,391,0.2452631578947368,0.3189473684210526,0.0010526315789473,0.0189473684210526,0.411578947368421,586,99,330,118,39,0.1689419795221843,0.5631399317406144,0.2013651877133105,0.0665529010238907,9.316666666666666
